"Date","Day_of_month","Nweek","Month","Num_offices","Num_employees","shift1_trans","shift2_trans","shift1_em","shift2_em","shift_all_em","Max_check","Min_check","Mean_check","Trans_amount","Trans_sum","Trans_mean","Class1","Class2","Class3","Class1.1","Class2.1","Class3.1"
"2013-03-03",3,8,3,1,2,0,3,0,2,0,2,1,1.33333333333333,3,400,133.333333333333,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-03-04",4,9,3,1,2,3,5,0,0,2,1,1,1,8,800,100,1,0,0,"8","0","0"
"2013-03-05",5,9,3,1,1,1,3,0,0,1,1,1,1,4,400,100,1,0,0,"4","0","0"
"2013-03-06",6,9,3,1,1,3,3,0,0,1,2,1,1.16666666666667,6,700,116.666666666667,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-03-07",7,9,3,1,1,3,4,0,0,1,2,1,1.14285714285714,7,800,114.285714285714,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-03-08",8,9,3,1,3,3,2,1,1,1,2,1,1.2,5,900,180,0.8,0.2,0,"4","1","0"
"2013-03-09",9,9,3,1,1,2,2,0,0,1,3,1,2,4,800,200,0.25,0.75,0,"1","3","0"
"2013-03-10",10,9,3,1,1,1,0,1,0,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-03-11",11,10,3,1,2,7,2,1,0,1,5,1,1.77777777777778,9,1900,211.111111111111,0.875,0,0.125,"7","0","1"
"2013-03-12",12,10,3,1,2,7,5,0,0,2,3,1,1.41666666666667,12,1700,141.666666666667,0.75,0.25,0,"9","3","0"
"2013-03-13",13,10,3,1,1,3,6,0,0,1,3,1,2,9,1800,200,0.333333333333333,0.666666666666667,0,"3","6","0"
"2013-03-14",14,10,3,1,2,2,5,0,1,1,1,1,1,7,700,100,1,0,0,"7","0","0"
"2013-03-15",15,10,3,1,3,3,6,0,0,3,3,1,1.22222222222222,9,1100,122.222222222222,0.888888888888889,0.111111111111111,0,"8","1","0"
"2013-03-16",16,10,3,1,1,0,2,0,1,0,3,1,2,2,400,200,0.5,0.5,0,"1","1","0"
"2013-03-17",17,10,3,1,1,3,3,0,0,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-03-18",18,11,3,1,2,3,5,0,0,2,1,1,1,8,800,100,1,0,0,"8","0","0"
"2013-03-19",19,11,3,1,2,2,4,1,0,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-03-20",20,11,3,1,2,3,7,0,1,1,1,1,1,10,1000,100,1,0,0,"10","0","0"
"2013-03-21",21,11,3,1,1,5,3,0,0,1,3,1,1.5,8,1200,150,0.625,0.375,0,"5","3","0"
"2013-03-22",22,11,3,1,1,5,3,0,0,1,3,1,1.25,8,1000,125,0.875,0.125,0,"7","1","0"
"2013-03-23",23,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-03-24",24,11,3,1,2,1,2,0,1,1,1,1,1,3,400,133.333333333333,1,0,0,"3","0","0"
"2013-03-25",25,12,3,1,1,3,2,0,0,1,1,1,1,5,500,100,1,0,0,"5","0","0"
"2013-03-26",26,12,3,1,2,2,3,0,1,1,4,1,1.6,5,800,160,1,0,0,"4","0","0"
"2013-03-27",27,12,3,1,2,5,7,0,0,2,2,1,1.08333333333333,12,1300,108.333333333333,0.916666666666667,0.0833333333333333,0,"11","1","0"
"2013-03-28",28,12,3,1,2,0,7,0,2,0,2,1,1.14285714285714,7,800,114.285714285714,0.857142857142857,0.142857142857143,0,"6","1","0"
"2013-03-29",29,12,3,1,2,3,3,0,0,2,2,1,1.16666666666667,6,700,116.666666666667,0.833333333333333,0.166666666666667,0,"5","1","0"
"2013-03-30",30,12,3,1,1,1,2,0,0,1,2,1,1.66666666666667,3,500,166.666666666667,0.333333333333333,0.666666666666667,0,"1","2","0"
"2013-03-31",31,12,3,1,1,0,1,0,1,0,1,1,1,1,500,500,1,0,0,"1","0","0"
"2013-04-01",1,13,4,1,1,0,1,0,1,0,2,2,2,1,200,200,0,1,0,"0","1","0"
"2013-04-02",2,13,4,1,2,3,7,0,1,1,2,1,1.3,10,1300,130,0.7,0.3,0,"7","3","0"
"2013-04-03",3,13,4,1,2,3,6,0,1,1,3,1,1.22222222222222,9,1100,122.222222222222,0.888888888888889,0.111111111111111,0,"8","1","0"
"2013-04-04",4,13,4,1,2,3,6,0,0,2,3,1,1.44444444444444,9,1300,144.444444444444,0.666666666666667,0.333333333333333,0,"6","3","0"
"2013-04-05",5,13,4,1,2,2,3,1,0,1,1,1,1,5,500,100,1,0,0,"5","0","0"
"2013-04-06",6,13,4,1,1,1,3,0,0,1,5,1,2,4,1135,283.75,0.75,0,0.25,"3","0","1"
"2013-04-07",7,13,4,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-04-08",8,14,4,1,2,3,6,0,0,2,2,1,1.11111111111111,9,1000,111.111111111111,0.888888888888889,0.111111111111111,0,"8","1","0"
"2013-04-09",9,14,4,1,2,4,10,0,1,1,3,1,1.35714285714286,14,1900,135.714285714286,0.785714285714286,0.214285714285714,0,"11","3","0"
"2013-04-10",10,14,4,1,2,6,8,0,1,1,2,1,1.14285714285714,14,1600,114.285714285714,0.857142857142857,0.142857142857143,0,"12","2","0"
"2013-04-11",11,14,4,1,2,2,7,0,1,1,3,1,1.44444444444444,9,1300,144.444444444444,0.666666666666667,0.333333333333333,0,"6","3","0"
"2013-04-12",12,14,4,1,2,7,4,0,0,2,1,1,1,11,1100,100,1,0,0,"11","0","0"
"2013-04-13",13,14,4,1,1,1,4,0,0,1,2,1,1.4,5,700,140,0.6,0.4,0,"3","2","0"
"2013-04-14",14,14,4,1,2,3,7,0,0,2,3,1,1.2,10,2700,270,0.9,0.1,0,"9","1","0"
"2013-04-15",15,15,4,1,2,3,10,0,0,2,2,1,1.38461538461538,13,2100,161.538461538462,0.615384615384615,0.384615384615385,0,"8","5","0"
"2013-04-16",16,15,4,1,2,9,15,0,0,2,3,1,1.29166666666667,24,3100,129.166666666667,0.791666666666667,0.208333333333333,0,"19","5","0"
"2013-04-17",17,15,4,1,2,5,7,0,0,2,3,1,1.5,12,1800,150,0.666666666666667,0.333333333333333,0,"8","4","0"
"2013-04-18",18,15,4,1,2,6,7,0,0,2,3,1,1.23076923076923,13,1600,123.076923076923,0.846153846153846,0.153846153846154,0,"11","2","0"
